County Name,Year,Mean Weighted Nonrenewal,Expected Annual Loss - Buildings,Expected Annual Loss - Total
Sonoma County,2022,0.011870054466221908,16955004.8415022,16959526.117519
Stanislaus County,2018,0.004598731069546141,2832502.18747833,2835634.78137284
Stanislaus County,2019,0.0074279406865353954,2832502.18747833,2835634.78137284
Stanislaus County,2020,0.008483249544072518,2832502.18747833,2835634.78137284
Stanislaus County,2021,0.008362606159398918,2832502.18747833,2835634.78137284
Stanislaus County,2022,0.00777527423580602,2832502.18747833,2835634.78137284
Sutter County,2018,0.00517307483413105,95633.3516666954,102301.20314752
Sutter County,2019,0.0063279017681315145,95633.3516666954,102301.20314752
Sutter County,2020,0.006358895286074125,95633.3516666954,102301.20314752
Sutter County,2021,0.0059181967025037415,95633.3516666954,102301.20314752
Sutter County,2022,0.006058750020477142,95633.3516666954,102301.20314752
Tehama County,2018,0.005803646114155527,6414941.32291048,7184586.42913287
Tehama County,2019,0.016803059607401007,6414941.32291048,7184586.42913287
Tehama County,2020,0.014948745992900699,6414941.32291048,7184586.42913287
Tehama County,2021,0.010378936006024025,6414941.32291048,7184586.42913287
Tehama County,2022,0.016968661853822585,6414941.32291048,7184586.42913287
Trinity County,2018,0.00526273426882042,4632624.53140615,5035514.38806796
Trinity County,2019,0.015629250086813425,4632624.53140615,5035514.38806796
Trinity County,2020,0.019621481369762637,4632624.53140615,5035514.38806796
Trinity County,2021,0.006605117289406116,4632624.53140615,5035514.38806796
Trinity County,2022,0.024477021704717477,4632624.53140615,5035514.38806796
Tulare County,2018,0.007404247458485056,6142321.61112516,6151929.75073131
Tulare County,2019,0.015669138170672867,6142321.61112516,6151929.75073131
Tulare County,2020,0.014329721170409006,6142321.61112516,6151929.75073131
Tulare County,2021,0.013133334978271984,6142321.61112516,6151929.75073131
Tulare County,2022,0.012876902581502194,6142321.61112516,6151929.75073131
Tuolumne County,2018,0.027697532030793053,20685507.9704626,20696317.3095812
Tuolumne County,2019,0.111080651282225,20685507.9704626,20696317.3095812
